Tree,Station,Timestamp,LW_minutes_H,Solar,Precipitation,Wind_direction,Wind_speed,Gust_speed,Temp,RH,Atmos_pressure,Precip_max,ECRN-100_Precipitation,ECRN-100_Precip_max,Wetness
FBP2,S0,2023-04-13T11:30:00Z,0,366.1,0,41,4.68,10.84,18.8,0.997,85.92,0,NA,NA,21.937169079683937
FBP2,S0,2023-04-13T11:45:00Z,9,647.1,0,44,5,9.99,18.7,0.992,85.9,0,NA,NA,21.06435796953463
FBP2,S0,2023-04-13T12:00:00Z,0,740.7,0,27,5.59,9.9,19.1,0.994,85.87,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T12:15:00Z,0,961.4,0,28,5.06,11.02,19.9,0.978,85.84,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T12:30:00Z,0,682.7,0,39,5.01,12.04,19.7,0.995,85.82,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T12:45:00Z,0,644.6,0,38,4.64,10.2,19.5,0.995,85.81,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T13:00:00Z,0,816.2,0,31,4.96,9.03,20.3,0.962,85.78,0,NA,NA,20.82142316306839
FBP2,S0,2023-04-13T13:15:00Z,0,614.2,0,41,5.24,10.04,20,0.984,85.75,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T13:30:00Z,0,417.6,0,34,5.41,11.99,19.4,0.994,85.75,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T13:45:00Z,0,523.3,0,39,4.45,8.17,19.7,0.987,85.74,0,NA,NA,21.06435796953463
FBP2,S0,2023-04-13T14:00:00Z,0,478.7,0,28,4.57,10.35,19.5,1.004,85.72,0,NA,NA,21.06435796953463
FBP2,S0,2023-04-13T14:15:00Z,0,490.9,0,37,4.61,9.8,19.5,0.997,85.72,0,NA,NA,21.06435796953463
FBP2,S0,2023-04-13T14:30:00Z,0,585.5,0,27,4.14,9.67,20.1,0.983,85.7,0,NA,NA,20.942538311819625
FBP2,S0,2023-04-13T14:45:00Z,0,404.9,0,33,3.99,8.31,20.2,0.988,85.69,0,NA,NA,21.310127227792695
FBP2,S0,2023-04-13T15:00:00Z,0,220.3,0,25,4.04,9.1,19.5,1.007,85.69,0,NA,NA,21.310127227792695
FBP2,S0,2023-04-13T15:15:00Z,0,196.9,0,27,4.6,9.17,19,1.003,85.68,0,NA,NA,21.310127227792695
FBP2,S0,2023-04-13T15:30:00Z,0,308.2,0,26,3.92,10.77,19.4,0.996,85.67,0,NA,NA,21.06435796953463
FBP2,S0,2023-04-13T15:45:00Z,5,326.5,0,46,4.53,8.9,19.8,0.992,85.65,0,NA,NA,30.888452743053772
FBP2,S0,2023-04-13T16:00:00Z,7,164.8,0,46,4.62,9.13,19,0.998,85.65,0,NA,NA,21.310127227792695
FBP2,S0,2023-04-13T16:15:00Z,0,194.1,0,38,3.7,8.1,19.2,0.998,85.66,0,NA,NA,21.81030176987139
FBP2,S0,2023-04-13T16:30:00Z,4,53.4,0,42,4.21,8.21,18.7,1.002,85.68,0,NA,NA,80.42961196716992
FBP2,S0,2023-04-13T16:45:00Z,15,73.1,0.136,44,4.37,8.35,18.4,1.001,85.7,2,NA,NA,27.665396721032227
FBP2,S0,2023-04-13T17:00:00Z,15,101.2,0,51,4.66,8.52,18.4,1,85.69,0,NA,NA,24.922784280387123
FBP2,S0,2023-04-13T17:15:00Z,15,45,0,35,3.94,8.34,18.6,0.999,85.69,0,NA,NA,22.582661383786025
FBP2,S0,2023-04-13T17:30:00Z,11,22.4,0,34,3.68,8.56,18.3,1.001,85.72,0,NA,NA,22.064774357933103
FBP2,S0,2023-04-13T17:45:00Z,8,10.7,0,39,4.42,8.52,18.3,1,85.74,0,NA,NA,27.82632225493487
FBP2,S0,2023-04-13T18:00:00Z,15,0.6,0,34,4.13,9.47,18.2,0.999,85.76,0,NA,NA,29.317435767552062
FBP2,S0,2023-04-13T18:15:00Z,15,0,0,31,4.04,8.14,18.2,1,85.77,0,NA,NA,60.88473073464733
FBP2,S0,2023-04-13T18:30:00Z,15,0,0.068,34,4.52,9.34,18.2,1.001,85.79,1,NA,NA,40.80409387400522
FBP2,S0,2023-04-13T18:45:00Z,15,0,0.017,54,4.52,9.92,18,1,85.81,1,NA,NA,39.637768606849605
FBP2,S0,2023-04-13T19:00:00Z,15,0,0.119,44,4.11,9.87,18,1.001,85.83,2,NA,NA,150.47281195768474
FBP2,S0,2023-04-13T19:15:00Z,15,0,0.051,56,4.82,9.15,18,1,85.85,1,NA,NA,52.97300353018693
FBP2,S0,2023-04-13T19:30:00Z,15,0,0.102,46,4.11,9.11,18,1,85.84,1,NA,NA,38.954037147246645
FBP2,S0,2023-04-13T19:45:00Z,15,0,0.017,54,4.25,10.74,17.8,1,85.85,1,NA,NA,53.90279955842241
FBP2,S0,2023-04-13T20:00:00Z,15,0,0.017,54,5.69,11.67,17.7,1.003,85.85,1,NA,NA,42.742015945228275
FBP2,S0,2023-04-13T20:15:00Z,15,0,0.051,29,4.67,9.53,17.8,1,85.85,1,NA,NA,55.48886757650324
FBP2,S0,2023-04-13T20:30:00Z,15,0,0.085,33,4.34,8.68,17.9,0.998,85.86,1,NA,NA,41.761815465725654
FBP2,S0,2023-04-13T20:45:00Z,15,0,0.017,36,4.22,8.2,17.9,0.999,85.87,1,NA,NA,73.72798310096677
FBP2,S0,2023-04-13T21:00:00Z,15,0,0.068,65,4.92,10.05,17.9,1.001,85.87,2,NA,NA,67.19389642704168
FBP2,S0,2023-04-13T21:15:00Z,15,0,0.017,43,4.79,9.33,17.8,1.001,85.88,1,NA,NA,52.05924601314577
FBP2,S0,2023-04-13T21:30:00Z,15,0,0,43,5.19,10.73,17.6,1.002,85.89,0,NA,NA,48.278311204609906
FBP2,S0,2023-04-13T21:45:00Z,15,0,0.017,48,4.81,10.13,17.4,1.001,85.9,1,NA,NA,38.282099709489046
FBP2,S0,2023-04-13T22:00:00Z,15,0,0,42,4.86,12.17,17.3,1.001,85.9,0,NA,NA,35.296450851197946
FBP2,S0,2023-04-13T22:15:00Z,15,0,0,43,5.58,13.8,17.3,1.002,85.9,0,NA,NA,34.28755349408999
FBP2,S0,2023-04-13T22:30:00Z,15,0,0.119,49,4.47,9.09,17.3,0.999,85.9,2,NA,NA,46.35746871825403
FBP2,S0,2023-04-13T22:45:00Z,15,0,0.017,51,5.46,11.9,17.4,1,85.89,1,NA,NA,45.82282898664569
FBP2,S0,2023-04-13T23:00:00Z,15,0,0.034,45,5.59,12.25,17.3,1,85.89,1,NA,NA,41.04144527215438
FBP2,S0,2023-04-13T23:15:00Z,15,0,0.017,50,5.76,11.92,17.2,1.001,85.89,1,NA,NA,49.987971996830225
FBP2,S0,2023-04-13T23:30:00Z,15,0,0.051,29,4.34,9.12,17.3,1.001,85.9,1,NA,NA,52.36206697189476
FBP2,S0,2023-04-13T23:45:00Z,15,0,0.068,40,4.8,8.69,17.4,1,85.89,1,NA,NA,120.01088133053645
FBP2,S0,2023-04-14T00:00:00Z,15,0,0.136,26,4.9,8.52,17.5,0.998,85.88,1,NA,NA,74.5882073596788
FBP2,S0,2023-04-14T00:15:00Z,15,0,0.034,24,4.94,8.5,17.5,1,85.87,1,NA,NA,61.23888823684369
FBP2,S0,2023-04-14T00:30:00Z,15,0,0.068,25,5.28,8.9,17.5,0.975,85.86,1,NA,NA,130.16233685045776
FBP2,S0,2023-04-14T00:45:00Z,15,0,0.153,21,4.71,9.73,17.5,1,85.86,1,NA,NA,137.93498023712394
FBP2,S0,2023-04-14T01:00:00Z,15,0,0.085,23,4.97,7.72,17.6,0.999,85.86,1,NA,NA,65.27325730089207
FBP2,S0,2023-04-14T01:15:00Z,15,0,0.136,20,4.65,8.69,17.6,0.999,85.84,2,NA,NA,69.17104958061131
FBP2,S0,2023-04-14T01:30:00Z,15,0,0.017,29,5.25,9.74,17.6,0.999,85.83,1,NA,NA,35.70827363532398
FBP2,S0,2023-04-14T01:45:00Z,15,0,0.034,32,5.08,9.78,17.6,1,85.81,1,NA,NA,56.79125862437769
FBP2,S0,2023-04-14T02:00:00Z,15,0,0.102,32,5.65,9.16,17.6,1,85.8,2,NA,NA,152.2284596463696
FBP2,S0,2023-04-14T02:15:00Z,15,0,0.153,17,5,10.92,17.4,1.001,85.8,2,NA,NA,122.11734374289686
FBP2,S0,2023-04-14T02:30:00Z,15,0,0.136,26,5.16,9.39,17.3,0.999,85.79,1,NA,NA,73.30159850959359
FBP2,S0,2023-04-14T02:45:00Z,15,0,0.136,30,4.9,9.14,17.3,0.999,85.78,2,NA,NA,61.59510582101541
FBP2,S0,2023-04-14T03:00:00Z,15,0,0.085,31,5.13,9.61,17.3,0.999,85.78,1,NA,NA,60.532621400534595
