Tree,MC,Timestamp,Port5_VPD,Port5_Temp,Port5_Atmos_pressure,Port5_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port3_RH,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET5,MC1,2023-05-31T18:45:00Z,0.18,19,87.71,0.916,87.71,0.24,19,0.892,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T19:00:00Z,0.18,19,87.75,0.917,87.75,0.23,19.1,0.894,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T19:15:00Z,0.2,19.1,87.77,0.911,87.77,0.25,19.2,0.889,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T19:30:00Z,0.19,19.1,87.78,0.914,87.78,0.24,19.2,0.89,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T19:45:00Z,0.2,19.2,87.81,0.908,87.81,0.26,19.3,0.884,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T20:00:00Z,0.25,19.4,87.82,0.887,87.83,0.3,19.4,0.866,0,0,450,0,6,450,8,0
ET5,MC1,2023-05-31T20:15:00Z,0.34,19.6,87.83,0.852,87.83,0.38,19.7,0.833,0,0,455,0,6,454,6,0
ET5,MC1,2023-05-31T20:30:00Z,0.34,19.7,87.84,0.852,87.85,0.38,19.7,0.836,0,0,450,0,6,450,6,0
ET5,MC1,2023-05-31T20:45:00Z,0.3,19.6,87.86,0.868,87.86,0.34,19.6,0.85,0,0,454,2,15,453,15,2
ET5,MC1,2023-05-31T21:00:00Z,0.26,19.4,87.86,0.885,87.86,0.3,19.5,0.866,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T21:15:00Z,0.22,19.3,87.86,0.904,87.86,0.26,19.4,0.883,0,0,450,0,15,452,15,0
ET5,MC1,2023-05-31T21:30:00Z,0.2,19.4,87.87,0.909,87.87,0.25,19.4,0.887,0,0,450,0,15,450,15,0
ET5,MC1,2023-05-31T21:45:00Z,0.18,19.3,87.88,0.92,87.88,0.23,19.3,0.897,0,0,450,0,15,451,15,0
ET5,MC1,2023-05-31T22:00:00Z,0.17,19.3,87.88,0.923,87.88,0.23,19.4,0.899,0,0,462,11,15,458,15,8
