Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port3_Temp,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
ET8,MC3,2023-05-31T18:45:00Z,87.8,19,0.17,0.925,18.8,0.22,87.84,0.899,0,0,454,0,15,0,15,453
ET8,MC3,2023-05-31T19:00:00Z,87.83,19.1,0.17,0.923,18.9,0.22,87.87,0.9,0,0,453,0,15,0,15,452
ET8,MC3,2023-05-31T19:15:00Z,87.86,19.2,0.19,0.916,19,0.23,87.89,0.895,0,0,453,0,15,0,15,452
ET8,MC3,2023-05-31T19:30:00Z,87.87,19.2,0.18,0.92,19,0.22,87.91,0.899,0,0,453,0,15,0,15,452
ET8,MC3,2023-05-31T19:45:00Z,87.9,19.3,0.19,0.913,19.1,0.23,87.93,0.894,0,0,452,0,15,0,15,452
ET8,MC3,2023-05-31T20:00:00Z,87.91,19.5,0.25,0.891,19.2,0.27,87.95,0.877,0,0,452,0,15,0,15,452
ET8,MC3,2023-05-31T20:15:00Z,87.92,19.8,0.32,0.86,19.4,0.33,87.96,0.853,0,0,452,0,15,0,15,452
ET8,MC3,2023-05-31T20:30:00Z,87.93,19.7,0.31,0.864,19.4,0.33,87.97,0.853,0,0,452,0,15,0,15,452
ET8,MC3,2023-05-31T20:45:00Z,87.94,19.6,0.28,0.875,19.3,0.31,87.98,0.863,0,0,452,0,15,0,15,452
ET8,MC3,2023-05-31T21:00:00Z,87.95,19.5,0.24,0.892,19.2,0.28,87.98,0.876,0,0,453,0,15,0,15,452
ET8,MC3,2023-05-31T21:15:00Z,87.94,19.3,0.2,0.91,19.2,0.24,87.98,0.891,0,0,453,0,15,0,15,452
ET8,MC3,2023-05-31T21:30:00Z,87.96,19.3,0.18,0.92,19.2,0.23,88,0.897,0,0,453,0,15,0,15,452
ET8,MC3,2023-05-31T21:45:00Z,87.97,19.3,0.16,0.928,19.2,0.21,88.01,0.904,0,0,453,0,15,0,15,453
ET8,MC3,2023-05-31T22:00:00Z,87.96,19.4,0.15,0.932,19.2,0.2,88,0.908,0,0,453,0,15,0,15,453
ET8,MC3,2023-05-31T22:15:00Z,87.96,19.3,0.14,0.938,19.1,0.18,88,0.917,0,0,462,14,15,12,15,462
ET8,MC3,2023-05-31T22:30:00Z,87.96,19.1,0.11,0.951,18.8,0.15,88.01,0.931,0,0,455,4,15,2,15,454
ET8,MC3,2023-05-31T22:45:00Z,87.97,19.1,0.09,0.959,18.9,0.14,88.01,0.937,0,0,586,10,15,9,15,647
ET8,MC3,2023-05-31T23:00:00Z,87.96,18.9,0.06,0.972,18.6,0.1,88,0.953,0,0,579,15,15,15,15,655
ET8,MC3,2023-05-31T23:15:00Z,87.96,18.6,0.04,0.984,18.4,0.07,88,0.966,0,0,577,15,15,15,15,653
ET8,MC3,2023-05-31T23:30:00Z,87.94,18.6,0.02,0.991,18.4,0.05,87.99,0.975,0,0,581,15,15,15,15,667
ET8,MC3,2023-05-31T23:45:00Z,87.93,18.7,0.01,0.996,18.4,0.04,87.97,0.982,0,0,583,15,15,15,15,635
ET8,MC3,2023-06-01T00:00:00Z,87.93,18.7,0,0.999,18.5,0.03,87.97,0.985,0,0,533,15,15,15,15,591
ET8,MC3,2023-06-01T00:15:00Z,87.91,18.7,0,1,18.4,0.03,87.95,0.985,0,0,518,15,15,15,15,567
ET8,MC3,2023-06-01T00:30:00Z,87.88,18.7,0,1,18.5,0.03,87.93,0.985,0,0,518,15,15,15,15,543
ET8,MC3,2023-06-01T00:45:00Z,87.86,18.6,0,1.001,18.5,0.05,87.9,0.978,0,0,514,15,15,15,15,559
ET8,MC3,2023-06-01T01:00:00Z,87.85,18.6,0,1,18.5,0.05,87.9,0.977,0,0,503,15,15,15,15,526
ET8,MC3,2023-06-01T01:15:00Z,87.82,18.8,0,1,18.6,0.04,87.86,0.98,0,0,510,15,15,15,15,519
ET8,MC3,2023-06-01T01:30:00Z,87.78,18.8,0,0.999,18.6,0.04,87.83,0.981,0,0,502,15,15,15,15,505
ET8,MC3,2023-06-01T01:45:00Z,87.75,18.6,0,1,18.5,0.06,87.79,0.973,0,0,486,15,15,15,15,494
ET8,MC3,2023-06-01T02:00:00Z,87.74,18.4,0,1.001,18.4,0.07,87.78,0.966,0,0,473,15,15,15,15,480
ET8,MC3,2023-06-01T02:15:00Z,87.73,18.4,0,1,18.3,0.07,87.77,0.967,0,0,472,15,15,15,15,477
ET8,MC3,2023-06-01T02:30:00Z,87.72,18.4,0,1,18.3,0.06,87.76,0.973,0,0,479,15,15,15,15,489
ET8,MC3,2023-06-01T02:45:00Z,87.71,18.3,0,1,18.3,0.07,87.75,0.968,0,0,549,15,15,15,15,507
ET8,MC3,2023-06-01T03:00:00Z,87.69,18.3,0,0.999,18.2,0.08,87.73,0.963,0,0,520,15,15,15,15,500
ET8,MC3,2023-06-01T03:15:00Z,87.68,18.3,0.01,0.996,18.2,0.08,87.72,0.96,0,0,500,15,15,15,15,492
ET8,MC3,2023-06-01T03:30:00Z,87.68,18.4,0.01,0.994,18.3,0.09,87.72,0.957,0,0,489,15,15,15,15,487
ET8,MC3,2023-06-01T03:45:00Z,87.68,18.4,0.02,0.992,18.3,0.08,87.72,0.96,0,0,484,15,15,15,15,481
ET8,MC3,2023-06-01T04:00:00Z,87.68,18.5,0.02,0.99,18.5,0.09,87.72,0.955,0,0,484,15,15,15,15,476
ET8,MC3,2023-06-01T04:15:00Z,87.68,18.6,0.02,0.99,18.5,0.09,87.73,0.957,0,0,478,15,15,15,15,471
ET8,MC3,2023-06-01T04:30:00Z,87.69,18.8,0.03,0.984,18.5,0.08,87.74,0.963,0,0,470,15,15,15,15,467
ET8,MC3,2023-06-01T04:45:00Z,87.69,19.1,0.07,0.969,18.4,0.08,87.74,0.964,0,0,460,15,15,10,15,455
ET8,MC3,2023-06-01T05:00:00Z,87.71,19.6,0.17,0.926,18.5,0.11,87.76,0.949,0,0,454,0,15,0,15,453
ET8,MC3,2023-06-01T05:15:00Z,87.72,19.8,0.27,0.885,18.6,0.16,87.77,0.926,0,0,453,0,15,0,15,453
ET8,MC3,2023-06-01T05:30:00Z,87.74,20,0.34,0.855,18.9,0.23,87.78,0.893,0,0,453,0,15,0,15,452
ET8,MC3,2023-06-01T05:45:00Z,87.75,20.3,0.41,0.83,19.3,0.3,87.8,0.867,0,0.4,452,0,15,0,15,452
ET8,MC3,2023-06-01T06:00:00Z,87.78,20.4,0.43,0.822,19.5,0.35,87.82,0.847,3.1,6.6,452,0,15,0,15,452
ET8,MC3,2023-06-01T06:15:00Z,87.8,20.4,0.43,0.82,19.8,0.39,87.84,0.832,6.8,9.7,452,0,15,0,15,452
ET8,MC3,2023-06-01T06:30:00Z,87.82,20.4,0.42,0.825,20,0.41,87.87,0.823,7.7,11,452,0,15,0,15,452
ET8,MC3,2023-06-01T06:45:00Z,87.84,20.5,0.43,0.823,20.3,0.45,87.87,0.813,9.7,14.1,452,0,15,0,15,452
ET8,MC3,2023-06-01T07:00:00Z,87.86,20.4,0.38,0.843,20.1,0.39,87.9,0.835,12.1,19.8,452,0,15,0,15,452
ET8,MC3,2023-06-01T07:15:00Z,87.88,20.2,0.32,0.866,20,0.33,87.92,0.857,17.9,33.9,453,0,15,0,15,452
ET8,MC3,2023-06-01T07:30:00Z,87.89,20.5,0.25,0.896,20.1,0.26,87.93,0.889,30.4,53.5,454,0,15,0,15,453
ET8,MC3,2023-06-01T07:45:00Z,87.91,20.7,0.18,0.926,20.5,0.21,87.95,0.912,62.8,70.1,453,0,15,0,15,452
ET8,MC3,2023-06-01T08:00:00Z,87.92,21.1,0.21,0.916,21,0.27,87.96,0.891,112.1,82.2,452,0,15,0,15,452
ET8,MC3,2023-06-01T08:15:00Z,87.93,21.7,0.27,0.894,21.5,0.33,87.97,0.872,61.7,120.8,453,0,15,0,15,452
ET8,MC3,2023-06-01T08:30:00Z,87.95,21.6,0.3,0.882,21.5,0.34,87.99,0.868,60.1,105.5,452,0,15,0,15,452
ET8,MC3,2023-06-01T08:45:00Z,87.96,21.7,0.32,0.878,21.6,0.35,88,0.863,69.9,91.9,452,0,15,0,15,452
ET8,MC3,2023-06-01T09:00:00Z,87.97,21.5,0.34,0.867,21.6,0.4,88.01,0.846,79.8,100,452,0,15,0,15,452
ET8,MC3,2023-06-01T09:15:00Z,87.97,21.9,0.3,0.887,21.9,0.35,88,0.865,59.1,74.2,452,0,15,0,15,452
ET8,MC3,2023-06-01T09:30:00Z,87.95,21.9,0.32,0.878,21.8,0.39,87.99,0.852,66.1,93.2,452,0,15,0,15,452
ET8,MC3,2023-06-01T09:45:00Z,87.95,22.1,0.36,0.863,22,0.41,87.99,0.844,45.4,71.2,452,0,15,0,15,452
ET8,MC3,2023-06-01T10:00:00Z,87.93,22.5,0.34,0.873,22.3,0.39,87.97,0.856,58.8,118.1,451,0,15,0,15,450
ET8,MC3,2023-06-01T10:15:00Z,87.93,22.8,0.45,0.837,22.8,0.49,87.97,0.823,54.6,79.3,452,0,15,0,15,451
ET8,MC3,2023-06-01T10:30:00Z,87.92,22.8,0.45,0.838,22.8,0.49,87.96,0.824,57.3,84.4,451,0,15,0,15,451
ET8,MC3,2023-06-01T10:45:00Z,87.91,23.1,0.46,0.839,23.1,0.49,87.94,0.827,73.8,100.5,451,0,15,0,15,451
ET8,MC3,2023-06-01T11:00:00Z,87.9,23.9,0.58,0.804,24,0.64,87.93,0.784,73.4,101.1,451,0,15,0,15,451
ET8,MC3,2023-06-01T11:15:00Z,87.88,23.7,0.55,0.812,23.6,0.6,87.92,0.795,64.5,89.4,451,0,15,0,15,450
ET8,MC3,2023-06-01T11:30:00Z,87.87,23.6,0.45,0.844,23.3,0.48,87.91,0.833,69.4,92.5,451,0,15,0,15,451
ET8,MC3,2023-06-01T11:45:00Z,87.87,23.6,0.41,0.858,23.2,0.44,87.91,0.844,31.9,52.9,452,0,15,0,15,451
ET8,MC3,2023-06-01T12:00:00Z,87.85,23,0.35,0.874,22.6,0.37,87.89,0.863,46.1,63.5,452,0,15,0,15,452
ET8,MC3,2023-06-01T12:15:00Z,87.83,23.1,0.31,0.891,23.1,0.36,87.86,0.871,59.9,81.1,452,0,15,0,15,451
ET8,MC3,2023-06-01T12:30:00Z,87.81,23.3,0.32,0.887,23.4,0.4,87.84,0.862,63.5,82.2,452,0,15,0,15,452
