Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port5_RH,Port5_VPD,Port5_Temp,Port5_Atmos_pressure,Port2_ATM22_Yaxis,Port2_Gust_speed,Port2_ATM22_temp,Port2_Wind_direction,Port2_ATM22_Xaxis,Port2_Wind_speed,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port6_LW_minutes_H,Port6_LWS_Count,Port6_LW_minutes
TV2,MC2,2023-05-31T18:45:00Z,0.985,85.44,0.03,17,0.972,0.05,16.9,85.43,0.3,1.94,17,79,-3.8,0.62,0,0,15,455,0,442,0
TV2,MC2,2023-05-31T19:00:00Z,0.987,85.45,0.03,17,0.974,0.05,16.9,85.45,0.4,2.19,17,56,-3.8,0.56,0,0,15,455,0,442,0
TV2,MC2,2023-05-31T19:15:00Z,0.989,85.48,0.02,17,0.974,0.05,16.9,85.48,0.4,1.36,17,55,-3.8,0.49,0,0,15,455,0,442,0
TV2,MC2,2023-05-31T19:30:00Z,0.99,85.5,0.02,17,0.976,0.05,16.9,85.49,0.4,1.77,17,72,-3.8,0.55,0,0,15,455,0,442,0
TV2,MC2,2023-05-31T19:45:00Z,0.99,85.51,0.02,16.9,0.975,0.05,16.9,85.51,0.4,1.51,17,91,-3.8,0.43,0,0,15,454,0,441,0
TV2,MC2,2023-05-31T20:00:00Z,0.983,85.52,0.03,16.9,0.967,0.06,16.9,85.52,0.4,2.26,17.1,100,-3.8,0.57,0,0,15,454,0,441,0
TV2,MC2,2023-05-31T20:15:00Z,0.968,85.54,0.06,16.9,0.943,0.11,17.1,85.54,0.4,1.76,17.2,100,-3.8,0.47,0,0,15,454,0,440,0
TV2,MC2,2023-05-31T20:30:00Z,0.954,85.55,0.09,17.1,0.927,0.14,17.3,85.55,0.4,1.62,17.2,64,-3.8,0.42,0,0,15,454,0,440,0
TV2,MC2,2023-05-31T20:45:00Z,0.953,85.56,0.09,17.2,0.928,0.14,17.3,85.56,0.4,0.8,17.3,64,-3.8,0.29,0,8,15,676,2,598,2
TV2,MC2,2023-05-31T21:00:00Z,0.963,85.57,0.07,17.2,0.939,0.12,17.3,85.56,0.4,2.14,17.1,134,-3.8,0.47,0,15,15,642,15,504,15
TV2,MC2,2023-05-31T21:15:00Z,0.975,85.57,0.05,17.1,0.955,0.09,17.1,85.57,0.3,0.88,17,49,-3.8,0.32,0,15,15,624,15,492,15
TV2,MC2,2023-05-31T21:30:00Z,0.983,85.57,0.03,17.1,0.963,0.07,17.1,85.57,0.4,1.14,17.1,41,-3.8,0.34,0,15,15,619,15,492,15
TV2,MC2,2023-05-31T21:45:00Z,0.988,85.58,0.02,17.2,0.968,0.06,17.2,85.58,0.4,1.89,17.1,93,-3.9,0.37,0,15,15,668,15,561,15
TV2,MC2,2023-05-31T22:00:00Z,0.991,85.58,0.02,17.2,0.97,0.06,17.2,85.58,0.4,1.57,17.1,103,-3.9,0.28,0,15,15,789,15,640,15
TV2,MC2,2023-05-31T22:15:00Z,0.993,85.58,0.01,17.2,0.972,0.05,17.2,85.58,0.4,1.89,17.1,81,-3.9,0.31,0,15,15,567,15,544,15
TV2,MC2,2023-05-31T22:30:00Z,0.995,85.59,0.01,17.3,0.976,0.05,17.3,85.58,0.4,1.08,17.2,140,-4,0.28,0,15,15,933,15,623,15
TV2,MC2,2023-05-31T22:45:00Z,0.996,85.59,0.01,17.3,0.976,0.05,17.3,85.59,0.4,0.75,17.2,33,-4.2,0.19,0,15,15,757,15,657,15
TV2,MC2,2023-05-31T23:00:00Z,0.998,85.57,0,17.3,0.979,0.04,17.2,85.57,0.5,0.73,17.2,115,-4.3,0.2,0,15,15,834,15,625,15
TV2,MC2,2023-05-31T23:15:00Z,1,85.57,0,17.4,0.982,0.04,17.4,85.57,0.6,1.53,17.4,117,-4.4,0.4,0,15,15,873,15,630,15
TV2,MC2,2023-05-31T23:30:00Z,1,85.56,0,17.5,0.985,0.03,17.5,85.56,0.6,1.51,17.4,67,-4.5,0.49,0,15,15,694,15,654,15
TV2,MC2,2023-05-31T23:45:00Z,1,85.55,0,17.5,0.987,0.03,17.5,85.55,0.5,1.37,17.4,80,-4.5,0.51,0,15,15,645,15,598,15
TV2,MC2,2023-06-01T00:00:00Z,1,85.55,0,17.5,0.989,0.02,17.5,85.55,0.6,1.37,17.4,68,-4.5,0.57,0,15,15,606,15,581,15
TV2,MC2,2023-06-01T00:15:00Z,0.999,85.53,0,17.5,0.99,0.02,17.5,85.53,0.5,1.79,17.4,80,-4.4,0.59,0,15,15,603,15,553,15
TV2,MC2,2023-06-01T00:30:00Z,1,85.51,0,17.5,0.992,0.02,17.5,85.51,0.6,1.71,17.4,85,-4.5,0.62,0,15,15,557,15,545,15
TV2,MC2,2023-06-01T00:45:00Z,1,85.49,0,17.4,0.994,0.01,17.4,85.49,0.6,1.46,17.4,86,-4.5,0.61,0,15,15,568,15,564,15
TV2,MC2,2023-06-01T01:00:00Z,1,85.48,0,17.5,0.995,0.01,17.4,85.48,0.6,1.47,17.4,55,-4.4,0.53,0,15,15,555,15,561,15
TV2,MC2,2023-06-01T01:15:00Z,1.001,85.45,0,17.4,0.997,0.01,17.3,85.45,0.6,1.47,17.3,48,-4.4,0.43,0,15,15,553,15,517,15
TV2,MC2,2023-06-01T01:30:00Z,0.999,85.43,0,17.4,0.998,0,17.3,85.43,0.6,1.21,17.3,36,-4.4,0.38,0,15,15,545,15,514,15
TV2,MC2,2023-06-01T01:45:00Z,1.001,85.4,0,17.2,0.997,0.01,17.1,85.4,0.6,1.02,17.2,58,-4.4,0.41,0,15,15,541,15,512,15
TV2,MC2,2023-06-01T02:00:00Z,0.999,85.39,0,17.1,0.999,0,17,85.39,0.6,1.33,17,55,-4.4,0.4,0,15,15,535,15,508,15
TV2,MC2,2023-06-01T02:15:00Z,0.999,85.37,0,17.1,1,0,17,85.37,0.5,1.78,17,47,-4.3,0.39,0,15,15,613,15,552,15
TV2,MC2,2023-06-01T02:30:00Z,1,85.36,0,16.9,1,0,16.8,85.36,0.6,1.27,16.9,62,-4.4,0.36,0,15,15,635,15,606,15
TV2,MC2,2023-06-01T02:45:00Z,0.999,85.36,0,16.9,1,0,16.8,85.36,0.5,1.12,16.8,49,-4.5,0.44,0,15,15,611,15,562,15
TV2,MC2,2023-06-01T03:00:00Z,0.999,85.34,0,16.8,1,0,16.8,85.34,0.6,1.1,16.8,56,-4.4,0.38,0,15,15,552,15,538,15
