Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port2_ATM22_Yaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_Xaxis,Port2_ATM22_temp,Port2_Gust_speed,Port6_Unknown,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes,Port5_LW_minutes_H,Port5_LW_minutes,Port5_LWS_Count
TV3,MC2,2023-05-31T18:45:00Z,0.947,85.08,0.1,16.8,3.7,0.44,155,-1.7,17,1.32,0,0,12,460,15,0,15,452
TV3,MC2,2023-05-31T19:00:00Z,0.949,85.1,0.1,16.7,3.7,0.41,140,-1.7,17,1.95,0,0,15,460,15,0,15,452
TV3,MC2,2023-05-31T19:15:00Z,0.948,85.12,0.1,16.7,3.6,0.41,158,-1.6,17,1.31,0,0,4,460,15,0,15,452
TV3,MC2,2023-05-31T19:30:00Z,0.949,85.14,0.1,16.8,3.7,0.41,172,-1.8,17,2.38,0,0,15,460,15,0,15,452
TV3,MC2,2023-05-31T19:45:00Z,0.947,85.15,0.1,16.7,3.7,0.4,153,-1.7,17,1.43,0,0,7,460,15,0,15,452
TV3,MC2,2023-05-31T20:00:00Z,0.939,85.17,0.12,16.7,3.7,0.3,172,-1.7,17,1,0,0,0,458,15,0,15,452
TV3,MC2,2023-05-31T20:15:00Z,0.926,85.18,0.14,16.7,3.7,0.34,172,-1.7,17,0.96,0,0,0,458,15,0,15,452
TV3,MC2,2023-05-31T20:30:00Z,0.919,85.19,0.16,16.9,3.7,0.31,152,-1.7,17.1,0.9,0,0,0,458,15,0,15,452
TV3,MC2,2023-05-31T20:45:00Z,0.92,85.21,0.16,17,3.7,0.35,182,-1.7,17.1,1.13,0,0,12,913,15,4,15,638
TV3,MC2,2023-05-31T21:00:00Z,0.932,85.21,0.13,16.9,3.7,0.4,217,-1.6,17,1.97,0,0,15,863,15,15,15,521
TV3,MC2,2023-05-31T21:15:00Z,0.944,85.21,0.11,16.8,3.7,0.29,152,-1.7,16.9,1.2,0,0,15,872,15,15,15,514
TV3,MC2,2023-05-31T21:30:00Z,0.949,85.22,0.1,16.8,3.7,0.26,149,-1.7,16.9,0.87,0,0,15,841,15,15,15,508
TV3,MC2,2023-05-31T21:45:00Z,0.952,85.23,0.09,16.9,3.7,0.31,167,-1.7,17,1.2,0,0,15,866,15,15,15,575
TV3,MC2,2023-05-31T22:00:00Z,0.954,85.23,0.09,16.9,3.7,0.34,140,-1.7,17,1.3,0,0,15,908,15,15,15,606
TV3,MC2,2023-05-31T22:15:00Z,0.956,85.23,0.08,16.9,3.7,0.26,168,-1.6,17,0.63,0,0,15,816,15,15,15,540
TV3,MC2,2023-05-31T22:30:00Z,0.957,85.23,0.08,17,3.7,0.27,146,-1.7,17,0.95,0,0,15,972,15,15,15,725
TV3,MC2,2023-05-31T22:45:00Z,0.959,85.23,0.08,17,3.7,0.26,145,-1.6,17,0.63,0,0,15,980,15,15,15,673
TV3,MC2,2023-05-31T23:00:00Z,0.96,85.22,0.08,17,3.8,0.31,159,-1.6,17,0.65,0,0,15,940,15,15,15,728
TV3,MC2,2023-05-31T23:15:00Z,0.964,85.21,0.07,17.1,3.7,0.36,162,-1.6,17.2,1.69,0,0,15,1063,15,15,15,999
TV3,MC2,2023-05-31T23:30:00Z,0.964,85.2,0.07,17.2,3.6,0.51,141,-1.6,17.3,1.51,0,0,15,984,15,15,15,645
TV3,MC2,2023-05-31T23:45:00Z,0.967,85.19,0.06,17.2,3.7,0.41,146,-1.6,17.3,1.34,0,0,15,920,15,15,15,644
TV3,MC2,2023-06-01T00:00:00Z,0.968,85.19,0.06,17.2,3.7,0.38,167,-1.6,17.3,0.79,0,0,15,885,15,15,15,579
